desired_temperature,compressor,condenser_fans,resistor,water_pump,evaporator_fans,temperature,time
23,MIN,0,MIN,0,10,20,0
23,MIN,0,MIN,0,10,20,1000
23,MIN,0,MIN,0,10,20,2000
23,MIN,0,MIN,0,10,20,3000
23,MIN,0,MIN,0,10,20,4000
23,MIN,0,MIN,0,10,20,5000
23,MIN,0,MIN,0,10,20,6000
23,MIN,0,MIN,0,10,20,7000
23,MIN,0,MIN,0,10,20,8000
23,MIN,0,MIN,0,10,20,9000
23,MIN,0,MIN,0,10,20,10000
23,MIN,0,MIN,0,10,20,11000
23,MIN,0,MIN,0,10,20,12000
23,MIN,0,MIN,0,10,20,13000
23,MIN,0,MIN,0,10,20,14000
23,MIN,0,MIN,0,10,20,15000
23,MIN,0,MIN,0,10,20,16000
23,MIN,0,MIN,0,10,20,17000
23,MIN,0,MIN,0,10,20,18000
23,MIN,0,MIN,0,10,20,19000
23,MIN,0,MIN,0,10,20,20000
23,MIN,0,MIN,0,10,20,21000
23,MIN,0,MIN,0,10,20,22000
23,MIN,0,MIN,0,10,20,23000
23,MIN,0,MIN,0,10,20,24000
23,MIN,0,MIN,0,10,20,25000
23,MIN,0,MIN,0,10,20,26000
23,MIN,0,MIN,0,10,20,27000
23,MIN,0,MIN,0,10,20,28000
23,MIN,0,MIN,0,10,20,29000
23,MIN,0,MIN,0,10,20,30000
23,MIN,0,MIN,0,10,20,31000
23,MIN,0,MIN,0,10,20,32000
23,MIN,0,MIN,0,10,20,33000
23,MIN,0,MIN,0,10,20,34000
23,MIN,0,MIN,0,10,20,35000
23,MIN,0,MIN,0,10,20,36000
23,MIN,0,MIN,0,10,20,37000
23,MIN,0,MIN,0,10,20,38000
23,MIN,0,MIN,0,10,20,39000
23,MIN,0,MIN,0,10,20,40000
23,MIN,0,MIN,0,10,20,41000
23,MIN,0,MIN,0,10,20,42000
23,MIN,0,MIN,0,10,20,43000
23,MIN,0,MIN,0,10,20,44000
23,MIN,0,MIN,0,10,20,45000
23,MIN,0,MIN,0,10,20,46000
23,MIN,0,MIN,0,10,20,47000
23,MIN,0,MIN,0,10,20,48000
23,MIN,0,MIN,0,10,20,49000
23,MIN,0,MIN,0,10,20,50000
23,MIN,0,MIN,0,10,20,51000
23,MIN,0,MIN,0,10,20,52000
23,MIN,0,MIN,0,10,20,53000
23,MIN,0,MIN,0,10,20,54000
23,MIN,0,MIN,0,10,20,55000
23,MIN,0,MIN,0,10,20,56000
23,MIN,0,MIN,0,10,20,57000
23,MIN,0,MIN,0,10,20,58000
23,MIN,0,MIN,0,10,20,59000
